ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME
2.000000,1,1,0,0,5.859375
4.000000,1,1,0,0,3.906250
8.000000,1,1,0,0,3.417969
16.000000,1,1,0,0,4.150391
32.000000,1,1,0,0,4.394531
64.000000,1,1,0,0,6.286621
128.000000,1,1,0,0,10.620117
256.000000,1,1,0,0,12.680054
512.000000,1,1,0,0,27.969360
1024.000000,1,1,0,0,60.523987
2048.000000,1,1,0,0,66.688538
4096.000000,1,1,0,0,107.028961
2.000000,1,1,0,1,11.718750
4.000000,1,1,0,1,7.812500
8.000000,1,1,0,1,7.324219
16.000000,1,1,0,1,6.591797
32.000000,1,1,0,1,7.934570
64.000000,1,1,0,1,10.009766
128.000000,1,1,0,1,13.885498
256.000000,1,1,0,1,13.839722
512.000000,1,1,0,1,14.129639
1024.000000,1,1,0,1,55.500031
2048.000000,1,1,0,1,66.476822
4096.000000,1,1,0,1,103.507042
