ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME,,,,
2,2,1,0,0,9.765625,95.703125,9.765625,,5.859375
2,2,1,0,0,95.703125,,,,
-,-,-,-,-,,,,,
4,2,1,0,0,88.867188,88.867188,6.835938,,3.90625
4,2,1,0,0,6.835938,,,,
-,-,-,-,-,,,,,
8,2,1,0,0,105.957031,105.957031,6.347656,,3.417969
8,2,1,0,0,6.347656,,,,
-,-,-,-,-,,,,,
16,2,1,0,0,4.150391,7.568359,4.150391,,4.150391
16,2,1,0,0,7.568359,,,,
-,-,-,-,-,,,,,
32,2,1,0,0,9.033203,108.276367,9.033203,,4.394531
32,2,1,0,0,108.276367,,,,
-,-,-,-,-,,,,,
64,2,1,0,0,73.608398,73.608398,12.084961,,6.286621
64,2,1,0,0,12.084961,,,,
-,-,-,-,-,,,,,
128,2,1,0,0,14.831543,22.583008,14.831543,,10.620117
128,2,1,0,0,22.583008,,,,
-,-,-,-,-,,,,,
256,2,1,0,0,39.703369,39.703369,24.841309,,12.680054
256,2,1,0,0,24.841309,,,,
-,-,-,-,-,,,,,
512,2,1,0,0,29.808044,35.972595,29.808044,,27.96936
512,2,1,0,0,35.972595,,,,
-,-,-,-,-,,,,,
1024,2,1,0,0,112.388611,112.987518,112.388611,,60.523987
1024,2,1,0,0,112.987518,,,,
-,-,-,-,-,,,,,
2048,2,1,0,0,114.021301,119.95697,114.021301,,66.688538
2048,2,1,0,0,119.95697,,,,
-,-,-,-,-,,,,,
4096,2,1,0,0,151.324272,157.090187,151.324272,,107.028961
4096,2,1,0,0,157.090187,,,,
-,-,-,-,-,,,,,
2,4,1,0,0,7.8125,,,,
2,4,1,0,0,7.8125,,,,
2,4,1,0,0,17.578125,,,,
2,4,1,0,0,273.4375,,,,
-,-,-,-,-,,,,,
4,4,1,0,0,14.648438,,,,
4,4,1,0,0,318.359375,,,,
4,4,1,0,0,615.234375,,,,
4,4,1,0,0,21.484375,,,,
-,-,-,-,-,,,,,
8,4,1,0,0,162.597656,,,,
8,4,1,0,0,8.789062,,,,
8,4,1,0,0,42.96875,,,,
8,4,1,0,0,11.230469,,,,
-,-,-,-,-,,,,,
16,4,1,0,0,9.765625,,,,
16,4,1,0,0,4.638672,,,,
16,4,1,0,0,11.474609,,,,
16,4,1,0,0,32.470703,,,,
-,-,-,-,-,,,,,
32,4,1,0,0,270.874023,,,,
32,4,1,0,0,3.051758,,,,
32,4,1,0,0,12.817383,,,,
32,4,1,0,0,13.183594,,,,
-,-,-,-,-,,,,,
64,4,1,0,0,7.263184,,,,
64,4,1,0,0,553.955078,,,,
64,4,1,0,0,21.057129,,,,
64,4,1,0,0,14.282227,,,,
-,-,-,-,-,,,,,
128,4,1,0,0,88.806152,,,,
128,4,1,0,0,27.832031,,,,
128,4,1,0,0,22.216797,,,,
128,4,1,0,0,19.439697,,,,
-,-,-,-,-,,,,,
256,4,1,0,0,270.935059,,,,
256,4,1,0,0,230.392456,,,,
256,4,1,0,0,20.53833,,,,
256,4,1,0,0,27.252197,,,,
-,-,-,-,-,,,,,
512,4,1,0,0,95.275879,,,,
512,4,1,0,0,214.363098,,,,
512,4,1,0,0,72.990417,,,,
512,4,1,0,0,83.610535,,,,
-,-,-,-,-,,,,,
1024,4,1,0,0,277.931213,,,,
1024,4,1,0,0,293.483734,,,,
1024,4,1,0,0,240.367889,,,,
1024,4,1,0,0,113.811493,,,,
-,-,-,-,-,,,,,
2048,4,1,0,0,207.164764,,,,
2048,4,1,0,0,236.64856,,,,
2048,4,1,0,0,242.826462,,,,
2048,4,1,0,0,237.46109,,,,
-,-,-,-,-,,,,,
4096,4,1,0,0,334.65004,,,,
4096,4,1,0,0,297.52636,,,,
4096,4,1,0,0,326.13945,,,,
4096,4,1,0,0,307.28054,,,,
-,-,-,-,-,,,,,
2,8,1,0,0,15.625,,,,
2,8,1,0,0,9.765625,,,,
2,8,1,0,0,9.765625,,,,
2,8,1,0,0,1097.65625,,,,
2,8,1,0,0,33.203125,,,,
2,8,1,0,0,31.25,,,,
2,8,1,0,0,1050.78125,,,,
2,8,1,0,0,550.78125,,,,
-,-,-,-,-,,,,,
4,8,1,0,0,37.109375,,,,
4,8,1,0,0,16.601562,,,,
4,8,1,0,0,54.6875,,,,
4,8,1,0,0,907.226562,,,,
4,8,1,0,0,893.554688,,,,
4,8,1,0,0,455.078125,,,,
4,8,1,0,0,893.554688,,,,
4,8,1,0,0,921.875,,,,
-,-,-,-,-,,,,,
8,8,1,0,0,280.761719,,,,
8,8,1,0,0,14.160156,,,,
8,8,1,0,0,4.882812,,,,
8,8,1,0,0,4.882812,,,,
8,8,1,0,0,27.832031,,,,
8,8,1,0,0,7.324219,,,,
8,8,1,0,0,34.179688,,,,
8,8,1,0,0,35.15625,,,,
-,-,-,-,-,,,,,
16,8,1,0,0,608.642578,,,,
16,8,1,0,0,899.658203,,,,
16,8,1,0,0,16.113281,,,,
16,8,1,0,0,25.390625,,,,
16,8,1,0,0,4.394531,,,,
16,8,1,0,0,122.802734,,,,
16,8,1,0,0,19.042969,,,,
16,8,1,0,0,15.625,,,,
-,-,-,-,-,,,,,
32,8,1,0,0,1116.333008,,,,
32,8,1,0,0,22.338867,,,,
32,8,1,0,0,21.606445,,,,
32,8,1,0,0,528.198242,,,,
32,8,1,0,0,12.207031,,,,
32,8,1,0,0,63.476562,,,,
32,8,1,0,0,13.671875,,,,
32,8,1,0,0,13.671875,,,,
-,-,-,-,-,,,,,
64,8,1,0,0,30.273438,,,,
