ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME
2.000000,2,1,0,1,5.859375
2.000000,2,1,0,1,15.625000
-,-,-,-,-
4.000000,2,1,0,1,4.882812
4.000000,2,1,0,1,4.882812
-,-,-,-,-
8.000000,2,1,0,1,9.277344
8.000000,2,1,0,1,5.371094
-,-,-,-,-
16.000000,2,1,0,1,4.882812
16.000000,2,1,0,1,7.568359
-,-,-,-,-
32.000000,2,1,0,1,83.374023
32.000000,2,1,0,1,10.620117
-,-,-,-,-
64.000000,2,1,0,1,13.854980
64.000000,2,1,0,1,75.500488
-,-,-,-,-
128.000000,2,1,0,1,10.803223
128.000000,2,1,0,1,25.421143
-,-,-,-,-
256.000000,2,1,0,1,25.894165
256.000000,2,1,0,1,29.403687
-,-,-,-,-
512.000000,2,1,0,1,24.276733
512.000000,2,1,0,1,32.562256
-,-,-,-,-
1024.000000,2,1,0,1,128.318787
1024.000000,2,1,0,1,127.086639
-,-,-,-,-
2048.000000,2,1,0,1,56.655884
2048.000000,2,1,0,1,65.458298
-,-,-,-,-
4096.000000,2,1,0,1,220.145226
4096.000000,2,1,0,1,220.987320
-,-,-,-,-
2.000000,4,1,0,1,11.718750
2.000000,4,1,0,1,15.625000
2.000000,4,1,0,1,21.484375
2.000000,4,1,0,1,29.296875
-,-,-,-,-
4.000000,4,1,0,1,5.859375
4.000000,4,1,0,1,5.859375
4.000000,4,1,0,1,16.601562
4.000000,4,1,0,1,20.507812
-,-,-,-,-
8.000000,4,1,0,1,5.371094
8.000000,4,1,0,1,8.300781
8.000000,4,1,0,1,10.253906
8.000000,4,1,0,1,15.625000
-,-,-,-,-
16.000000,4,1,0,1,6.347656
16.000000,4,1,0,1,173.583984
16.000000,4,1,0,1,98.388672
16.000000,4,1,0,1,26.855469
-,-,-,-,-
32.000000,4,1,0,1,7.202148
32.000000,4,1,0,1,12.084961
32.000000,4,1,0,1,32.592773
32.000000,4,1,0,1,20.629883
-,-,-,-,-
64.000000,4,1,0,1,8.239746
64.000000,4,1,0,1,12.268066
64.000000,4,1,0,1,30.212402
64.000000,4,1,0,1,23.620605
-,-,-,-,-
128.000000,4,1,0,1,15.777588
128.000000,4,1,0,1,35.827637
128.000000,4,1,0,1,42.175293
128.000000,4,1,0,1,48.553467
-,-,-,-,-
256.000000,4,1,0,1,89.874268
256.000000,4,1,0,1,167.953491
256.000000,4,1,0,1,41.427612
256.000000,4,1,0,1,44.433594
-,-,-,-,-
512.000000,4,1,0,1,18.447876
512.000000,4,1,0,1,159.805298
512.000000,4,1,0,1,308.898926
512.000000,4,1,0,1,268.661499
-,-,-,-,-
1024.000000,4,1,0,1,258.968353
1024.000000,4,1,0,1,278.011322
1024.000000,4,1,0,1,270.202637
1024.000000,4,1,0,1,254.989624
-,-,-,-,-
2048.000000,4,1,0,1,249.111176
2048.000000,4,1,0,1,243.713379
2048.000000,4,1,0,1,251.003265
2048.000000,4,1,0,1,255.859375
-,-,-,-,-
4096.000000,4,1,0,1,319.395065
4096.000000,4,1,0,1,318.007469
4096.000000,4,1,0,1,324.870110
4096.000000,4,1,0,1,322.114944
-,-,-,-,-
2.000000,8,1,0,1,15.625000
2.000000,8,1,0,1,23.437500
2.000000,8,1,0,1,33.203125
2.000000,8,1,0,1,37.109375
2.000000,8,1,0,1,425.781250
2.000000,8,1,0,1,93.750000
2.000000,8,1,0,1,85.937500
2.000000,8,1,0,1,19.531250
-,-,-,-,-
4.000000,8,1,0,1,7.812500
4.000000,8,1,0,1,14.648438
4.000000,8,1,0,1,15.625000
4.000000,8,1,0,1,16.601562
4.000000,8,1,0,1,479.492188
4.000000,8,1,0,1,44.921875
4.000000,8,1,0,1,487.304688
4.000000,8,1,0,1,964.843750
-,-,-,-,-
8.000000,8,1,0,1,860.351562
8.000000,8,1,0,1,449.707031
8.000000,8,1,0,1,24.414062
8.000000,8,1,0,1,26.855469
8.000000,8,1,0,1,50.292969
8.000000,8,1,0,1,533.203125
8.000000,8,1,0,1,82.031250
8.000000,8,1,0,1,902.343750
-,-,-,-,-
16.000000,8,1,0,1,7.080078
16.000000,8,1,0,1,305.908203
16.000000,8,1,0,1,30.273438
16.000000,8,1,0,1,319.091797
16.000000,8,1,0,1,8.056641
16.000000,8,1,0,1,64.941406
16.000000,8,1,0,1,75.195312
16.000000,8,1,0,1,20.019531
-,-,-,-,-
32.000000,8,1,0,1,729.614258
32.000000,8,1,0,1,422.607422
32.000000,8,1,0,1,458.496094
